claim_id,manuscript_location,statement,tier,evidence_path,figure_or_table,uncertainty,last_verified_commit
X0_PLA,sec:simulation,PLA radiation length X0 = 315.423 mm from G4Material::GetRadlen(),ANCHORED,data/runs/*.root.meta.json,,exact,2c18a89
width_invariance,sec:width,realised-path width closure f_width/(tpla_mean/L) = 0.981--1.006 across 52 configurations; nominal-control envelope 7.9% is mean-material mismatch,ANCHORED,data/analysis/e2_results_combined.json;data/analysis/e2_results_m3_1000.json;data/analysis/pt_hist.json;data/analysis/width_envelope.md,fig:width_invariance,max realised-path deviation 1.9%; width sampling error <0.1%,dd62c9e
collapse_exponent,sec:collapse,Delta_kappa4 vs N_eff pooled OLS exponent -0.916 (theory -1); law closes on measured Var(t_pla) to k_eff=1.00+/-0.01 (n=28); periodic-only -0.97/-0.89/-1.02 at 200/500/1000,ANCHORED,data/analysis/e2_results_combined.json;data/analysis/e2_results_m3_1000.json,fig:neff_collapse;tab:collapse,95% CI [-0.953 -0.880],dd62c9e
gamma2_2p5mm,sec:collapse,gamma2 at 2.5 mm cell = 2.2 (rect) / 1.2 (gyroid) 200+500 MeV,ANCHORED,data/analysis/homog_boundary.md;data/analysis/transport_vs_g4.md,fig:boundary,transport-vs-G4 <=9%,2c18a89
floor_keff_voronoi,sec:simulation,All-order floor subtraction restores voronoi k_eff 2.05 -> 0.96,ANCHORED,data/analysis/e2_results.md;analysis/e2_scalemix_check.py,F_floor,,2c18a89
cell_break,sec:boundaries,cell_break(p) rect 559/260/111/62 gyroid 376/183/76/44 um (100/200/500/1000 MeV),ANCHORED,data/analysis/e0_break.json,fig:boundary,Geant4-confirmed 100 MeV <=1.3%,2c18a89
c_homog,sec:boundaries,threshold-defined shape-recovery envelope (gamma2 1 to 0.1) has upper edge about 1 um and is at least 100x below practical pores,PREDICTED,data/analysis/homog_boundary.json,fig:boundary,all rectilinear crossings extrapolated below 5 um sweep floor; definition range not CI,dd62c9e
foam_gamma2_02mm,sec:boundaries,rect 0.2 mm foam-scale gamma2 = 1.97 (WVI) / 0.90 (Urban) both >> 0,ANCHORED,data/analysis/e5_msc_systematic.md;data/analysis/transport_vs_g4.md,fig:boundary;fig:systematics,~2x MSC amplitude range (0.9-2.0),2c18a89
voronoi_angular_dk4,sec:systematics,Voronoi angular-space Delta_kappa4 (floor-dominated; demoted),QUALITATIVE,data/analysis/e5a_rawk4_check.md,T4,k_eff 1.0->0.5 WVI->Urban band,2c18a89
m1_width_recon,sec:impact,Reconstructed-kink width invariance sig-ratio 0.996-1.001 (Result 1 on recon kinks),ANCHORED,results/M1/T3_impact.md;results/M1/M1_results.json,T3,+-0.4%,dd62c9e
m1_tail_excess,sec:impact,>3sigma kink-tail excess 1.3-1.7x struct/slab (200 & 1000 MeV),ANCHORED,results/M1/T3_impact.md;results/M1/M1_results.json,fig:impact;T3,bootstrap 68% CI,dd62c9e
m1_track_loss,sec:impact,Track-loss ratio 1.2-2.4x at chi2 p>0.01 cut (homogeneous process noise),ANCHORED,results/M1/T3_impact.md,T3,,dd62c9e
m1_ip_tail,sec:impact,Impact-parameter proxy >3sigma tail excess 2.0-3.5x (200 MeV),ANCHORED,results/M1/M1_results.json,T3,,dd62c9e
m1_si_subtraction,sec:impact,Target-out subtraction removes the 50um-Si telescope kappa4 (~12% of raw),ANCHORED,results/M1/M1_results.json,,cumulant additivity,dd62c9e
m2_orientation,sec:orientation,N_eff(alpha) increases off-normal (normal incidence = worst case); collapse holds under tilt (C*N_eff 0.94-1.14 within bootstrap CIs; D8 full-range floor),ANCHORED,results/M2/collapse_theta.json;results/M2/neff_theta.json,fig:rocking,Geant4 <=10deg; displayed analytic prediction to 18deg; boot 95% CIs n=2000,dd62c9e
m2_anisotropy,sec:orientation,rect N_eff 2.1->4.0 vs gyroid 4.3->32 over 0-10deg; rect plateaus near 4.4 beyond 12deg,ANCHORED,results/M2/neff_theta.json,fig:rocking,,dd62c9e
m4_width_carbon,sec:material,Carbon width invariance kappa2_lattice/kappa2_solidC@fL = 1.005 (Result 1 material-independent),ANCHORED,results/M4/carbon.json,,range 0.94-1.08,dd62c9e
m4_transfer,sec:material,Carbon geometry Delta_kappa4 collapses on C=1/N_eff with only a rescaled a (a_carbon=4.8188e-6 vs PLA 3.874e-6); gyroid closure 0.97/1.11 (D8 floor); voronoi 0.31/0.66 floor-dominated qualitative,ANCHORED,results/M4/carbon.json,,gyroid pair consistent with PLA k_eff 0.99,dd62c9e
n3_metrology,sec:metrology,N_eff recovered to 14%/4.5%/2.6% at N=1e5/1e6/3e6 protons (GENUINE per-size bootstraps; f to 0.8% at 1e5); 1e7 extrapolated 1.4%; point f=0.296 N_eff=2.12 vs ray-traced 2.08; topology not identifiable,ANCHORED,results/N3/posterior.json,fig_affordability b,1sigma bootstrap n_boot=400 seeded P7 run (D9 rework),dd62c9e
n4_beam_gauss,sec:beamsys,Gaussian beam optics (spot/divergence/resolution sigma 1-3 mrad) shift Delta_kappa4 <=1.9% (<0.35 sigma); kappa4_Gaussian=0,ANCHORED,results/N4/beam_sys.json,,analysis-only toy MC on anchored samples,dd62c9e
n4_beam_momentum,sec:beamsys,Momentum spread dp/p 2-5% shifts Delta_kappa4 <=2.7% (<0.5 sigma); common-mode scale mixture cancels in struct-control,ANCHORED,results/N4/beam_sys.json,,analysis-only; momentum-mixing per yu2025momentum,dd62c9e
n2_wandering,sec:beamsys,Analytic MCS-blurred autocovariance reproduces wandering suppression to median ~10% (gyroid); >15% for rect/strong-wandering -> qualitative support only,QUALITATIVE,results/N2/wandering.json,,C3: keep empirical Geant4 c_break,dd62c9e
m3_third_energy,sec:collapse,1000 MeV collapse exponent -1.016 [-1.119 -0.914] (energy-universal across 200/500/1000; brackets -1 excludes -1/2 and -2),ANCHORED,data/analysis/e2_results_m3_1000.json,fig:neff_collapse,OLS Birge-inflated CI n_pts=12 R2=0.989,dd62c9e
m3_scale_invariance,sec:collapse,Periodic N_eff is cell-independent (collapse point stationary over 10x cell 0.5-5mm); scale-invariance confirmed,ANCHORED,results/M3/collapse_wide.json,fig:neff_collapse,rect 2.08/gyroid 4.34/schwarzp 2.25 at all cells (D6),dd62c9e
pt_distribution,sec:targets,straight-chord p(t) for raw rect/gyroid/voronoi f=0.40 voxels: means 3.97/3.97/4.00 mm; Var(t) 11.57/6.17/2.58 mm^2; void atoms 0.25/0.16/0.00,ANCHORED,data/analysis/pt_hist.json,fig:pt,deterministic geometric chords through raw campaign voxel fields,240bdaa
width_mechanism,sec:width,Width-ratio spread tracks as-built mean line-integral (mean_t_over_fL block): voronoi f=0.30 ratio 1.080 vs <t>/fL=1.079; rect f=0.20 0.955-0.960 vs 0.972 same-sign,ANCHORED,data/analysis/pt_hist.json,fig_width_invariance,geometry-level identity; stat err <0.1%,240bdaa
void_channel_m1,sec:impact,34% of rectilinear f=0.30 protons traverse pure void channels (t=0) in the M1 target; p_void=0.3417 from pencil tpla branch,ANCHORED,results/M1/f6_hist.json,fig_impact,exact fraction of 1e7-event run,dd62c9e
